ISO,Year,MWU
BHR,2012,0.1779
BHR,2013,0.1779
BHR,2014,0.1779
BHR,2015,0.1779
BHR,2016,0.2756
BHR,2017,0.2756
BHR,2018,0.2756
BHR,2019,0.2756
BHS,2000,0.025
BHS,2001,0.025
BHS,2002,0.025
BHS,2003,0.025
BHS,2004,0.025
BHS,2005,0.025
BHS,2006,0.025
BHS,2007,0.025
BHS,2008,0.025
BHS,2009,0.025
BHS,2010,0.025
BHS,2011,0.025
BHS,2012,0.025
BHS,2013,0.031
BHS,2014,0.031
BHS,2015,0.031
BHS,2016,0.031
BHS,2017,0.031
BHS,2018,0.031
BHS,2019,0.031
BIH,2000,0.3556
BIH,2001,0.3556
BIH,2002,0.3556
BIH,2003,0.3556
BIH,2004,0.3556
BIH,2005,0.3556
BIH,2006,0.3556
BIH,2007,0.3504
BIH,2008,0.3504
BIH,2009,0.3504
BIH,2010,0.3504
BIH,2011,0.3504
BIH,2012,0.3593
BIH,2013,0.3593
BIH,2014,0.3593
BIH,2015,0.3593
BIH,2016,0.3593
BIH,2017,0.3608
BIH,2018,0.3608
BIH,2019,0.3608
BLR,2000,0.8505
BLR,2001,0.8505
BLR,2002,0.8505
BLR,2003,0.8505
BLR,2004,0.8505
BLR,2005,0.803
BLR,2006,0.803
BLR,2007,0.803
BLR,2008,0.803
BLR,2009,0.803
BLR,2010,0.5895
BLR,2011,0.5895
BLR,2012,0.5895
BLR,2013,0.5895
BLR,2014,0.5895
BLR,2015,0.5895
BLR,2016,0.5895
BLR,2017,0.523
BLR,2018,0.523
BLR,2019,0.523
BLZ,2000,0.0114
BLZ,2001,0.0114
BLZ,2002,0.0114
BLZ,2003,0.0114
BLZ,2004,0.0114
BLZ,2005,0.0114
BLZ,2006,0.0114
BLZ,2007,0.0114
BLZ,2008,0.0114
BLZ,2009,0.0114
BLZ,2010,0.0114
BLZ,2011,0.0114
BLZ,2012,0.0114
BLZ,2013,0.0114
BLZ,2014,0.0114
BLZ,2015,0.0114
BLZ,2016,0.0114
BLZ,2017,0.0114
BLZ,2018,0.0114
BLZ,2019,0.0114
BMU,2000,0.0
BMU,2001,0.0
BMU,2002,0.0
BMU,2003,0.0
BMU,2004,0.0
BMU,2005,0.0
BMU,2006,0.0
BMU,2007,0.0
BMU,2008,0.0
BMU,2009,0.0
BMU,2010,0.0
BMU,2011,0.0
BMU,2012,0.0
BMU,2013,0.0
BMU,2014,0.0
BMU,2015,0.0
BMU,2016,0.0
BMU,2017,0.0
BMU,2018,0.0
BMU,2019,0.0
BOL,2000,0.136
BOL,2001,0.136
BOL,2002,0.136
BOL,2003,0.136
BOL,2004,0.136
BOL,2005,0.136
BOL,2006,0.136
BOL,2007,0.136
BOL,2008,0.136
BOL,2009,0.136
BOL,2010,0.136
BOL,2011,0.136
BOL,2012,0.136
BOL,2013,0.136
BOL,2014,0.136
BOL,2015,0.136
BOL,2016,0.136
BOL,2017,0.136
BOL,2018,0.136
BOL,2019,0.136
BRA,2000,16.23
BRA,2001,16.23
BRA,2002,16.23
BRA,2003,16.23
BRA,2004,16.23
BRA,2005,16.23
BRA,2006,16.23
BRA,2007,16.23
BRA,2008,16.23
BRA,2009,16.23
BRA,2010,17.21
BRA,2011,17.21
BRA,2012,17.21
BRA,2013,17.21
BRA,2014,17.21
BRA,2015,17.21
BRA,2016,17.21
BRA,2017,16.74
BRA,2018,16.74
BRA,2019,16.74
BRB,2000,0.02
BRB,2001,0.02
BRB,2002,0.02
BRB,2003,0.02
BRB,2004,0.02
BRB,2005,0.02
BRB,2006,0.02
BRB,2007,0.02
BRB,2008,0.02
BRB,2009,0.02
BRB,2010,0.02
BRB,2011,0.02
BRB,2012,0.02
BRB,2013,0.02
BRB,2014,0.02
BRB,2015,0.02
BRB,2016,0.02
BRB,2017,0.02
BRB,2018,0.02
BRB,2019,0.02
BRN,2000,0.1389
BRN,2001,0.1389
BRN,2002,0.1389
BRN,2003,0.1389
BRN,2004,0.1389
BRN,2005,0.1389
BRN,2006,0.1389
BRN,2007,0.1389
BRN,2008,0.1389
BRN,2009,0.1515
BRN,2010,0.1515
BRN,2011,0.1515
BRN,2012,0.1515
BRN,2013,0.1515
BRN,2014,0.1515
BRN,2015,0.1515
BRN,2016,0.1515
BRN,2017,0.1515
BRN,2018,0.1515
BRN,2019,0.1515
BTN,2000,0.017
BTN,2001,0.017
BTN,2002,0.017
BTN,2003,0.017
BTN,2004,0.017
BTN,2005,0.017
BTN,2006,0.017
BTN,2007,0.017
BTN,2008,0.017
BTN,2009,0.017
BTN,2010,0.017
BTN,2011,0.017
BTN,2012,0.017
BTN,2013,0.017
BTN,2014,0.017
BTN,2015,0.017
BTN,2016,0.017
BTN,2017,0.017
BTN,2018,0.017
BTN,2019,0.017
BWA,2000,0.079
BWA,2001,0.079
BWA,2002,0.079
BWA,2003,0.079
BWA,2004,0.079
BWA,2005,0.0878
BWA,2006,0.0878
BWA,2007,0.0878
BWA,2008,0.0878
BWA,2009,0.0878
BWA,2010,0.0878
BWA,2011,0.0878
BWA,2012,0.0837
BWA,2013,0.0837
BWA,2014,0.0837
BWA,2015,0.0837
BWA,2016,0.0837
BWA,2017,0.1006
BWA,2018,0.1006
BWA,2019,0.1006
CAF,2000,0.0548
CAF,2001,0.0548
CAF,2002,0.0548
CAF,2003,0.0548
CAF,2004,0.0548
CAF,2005,0.0601
CAF,2006,0.0601
CAF,2007,0.0601
CAF,2008,0.0601
CAF,2009,0.0601
CAF,2010,0.0601
CAF,2011,0.0601
CAF,2012,0.0601
CAF,2013,0.0601
CAF,2014,0.0601
CAF,2015,0.0601
CAF,2016,0.0601
CAF,2017,0.0601
CAF,2018,0.0601
CAF,2019,0.0601
CAN,2000,5.878
CAN,2001,5.878
CAN,2002,5.878
CAN,2003,5.878
CAN,2004,5.878
CAN,2005,5.878
CAN,2006,5.878
CAN,2007,5.878
CAN,2008,5.878
CAN,2009,5.878
CAN,2010,5.878
CAN,2011,5.124
CAN,2012,5.124
CAN,2013,5.124
CAN,2014,5.124
CAN,2015,5.124
CAN,2016,5.124
CAN,2017,4.888
CAN,2018,4.888
CAN,2019,4.888
CHE,2000,1.069
CHE,2001,1.069
CHE,2002,1.069
CHE,2003,1.069
CHE,2004,1.069
CHE,2005,1.069
CHE,2006,0.981
CHE,2007,0.981
CHE,2008,0.981
CHE,2009,0.981
CHE,2010,0.981
CHE,2011,0.981
CHE,2012,1.202
CHE,2013,1.202
CHE,2014,1.202
CHE,2015,1.202
CHE,2016,1.202
CHE,2017,0.931
CHE,2018,0.931
CHE,2019,0.931
CHL,2000,1.043
CHL,2001,1.043
CHL,2002,1.043
CHL,2003,1.043
CHL,2004,1.043
CHL,2005,1.043
CHL,2006,1.267
CHL,2007,1.267
CHL,2008,1.267
CHL,2009,1.267
CHL,2010,1.267
CHL,2011,1.267
CHL,2012,1.267
CHL,2013,1.267
CHL,2014,1.267
CHL,2015,1.267
CHL,2016,1.267
CHL,2017,1.267
CHL,2018,1.267
CHL,2019,1.267
CIV,2000,0.5392
CIV,2001,0.5392
CIV,2002,0.5392
CIV,2003,0.5392
CIV,2004,0.5392
CIV,2005,0.6359
CIV,2006,0.6359
CIV,2007,0.6359
CIV,2008,0.6359
CIV,2009,0.6359
CIV,2010,0.6359
CIV,2011,0.6359
CIV,2012,0.6359
CIV,2013,0.6359
CIV,2014,0.32
CIV,2015,0.32
CIV,2016,0.32
CIV,2017,0.32
CIV,2018,0.32
CIV,2019,0.32
CMR,2000,0.1611
CMR,2001,0.1611
CMR,2002,0.1611
CMR,2003,0.1611
CMR,2004,0.1611
CMR,2005,0.2468
CMR,2006,0.2468
CMR,2007,0.2468
CMR,2008,0.2468
CMR,2009,0.2468
CMR,2010,0.2468
CMR,2011,0.2468
CMR,2012,0.2468
CMR,2013,0.2468
CMR,2014,0.2468
CMR,2015,0.2468
CMR,2016,0.2468
CMR,2017,0.2468
CMR,2018,0.2468
CMR,2019,0.2468
COD,2000,0.3893
COD,2001,0.3893
COD,2002,0.3893
COD,2003,0.3893
COD,2004,0.3893
COD,2005,0.4649
COD,2006,0.4649
COD,2007,0.4649
COD,2008,0.4649
COD,2009,0.4649
COD,2010,0.4649
COD,2011,0.4649
COD,2012,0.4649
COD,2013,0.4649
COD,2014,0.4649
COD,2015,0.4649
COD,2016,0.4649
COD,2017,0.4649
COD,2018,0.4649
COD,2019,0.4649
COG,2000,0.032
COG,2001,0.032
COG,2002,0.032
COG,2003,0.032
COG,2004,0.032
COG,2005,0.0637
COG,2006,0.0637
COG,2007,0.0637
COG,2008,0.0637
COG,2009,0.0637
COG,2010,0.0637
COG,2011,0.0637
COG,2012,0.0637
COG,2013,0.0637
COG,2014,0.0637
COG,2015,0.0637
COG,2016,0.0637
COG,2017,0.0637
COG,2018,0.0637
COG,2019,0.0637
COK,2000,0.0
COK,2001,0.0
COK,2002,0.0
COK,2003,0.0
COK,2004,0.0
COK,2005,0.0
COK,2006,0.0
COK,2007,0.0
COK,2008,0.0
COK,2009,0.0
COK,2010,0.0
COK,2011,0.0
COK,2012,0.0
COK,2013,0.0
COK,2014,0.0
COK,2015,0.0
COK,2016,0.0
COK,2017,0.0
COK,2018,0.0
COK,2019,0.0
COL,2000,2.467
COL,2001,2.467
COL,2002,2.467
COL,2003,2.467
COL,2004,2.467
COL,2005,2.467
COL,2006,2.467
COL,2007,2.467
COL,2008,3.134
COL,2009,3.134
COL,2010,3.134
COL,2011,3.134
COL,2012,3.134
COL,2013,3.134
COL,2014,3.134
COL,2015,3.134
COL,2016,3.49
COL,2017,3.49
COL,2018,3.49
COL,2019,3.49
COM,2000,0.0
COM,2001,0.0
COM,2002,0.0
COM,2003,0.0
COM,2004,0.0
COM,2005,0.0
COM,2006,0.0
COM,2007,0.0
COM,2008,0.0
COM,2009,0.0
COM,2010,0.0
COM,2011,0.0
COM,2012,0.0
COM,2013,0.0
COM,2014,0.0
COM,2015,0.0
COM,2016,0.0
COM,2017,0.0
COM,2018,0.0
COM,2019,0.0
CPV,2000,0.0016
CPV,2001,0.0016
CPV,2002,0.0016
CPV,2003,0.0016
CPV,2004,0.0016
CPV,2005,0.0016
CPV,2006,0.0016
CPV,2007,0.0016
CPV,2008,0.0016
CPV,2009,0.0016
CPV,2010,0.0016
CPV,2011,0.0016
CPV,2012,0.0016
CPV,2013,0.0016
CPV,2014,0.0016
CPV,2015,0.0016
CPV,2016,0.0016
CPV,2017,0.0016
CPV,2018,0.0016
CPV,2019,0.0016
CRI,2000,0.58
CRI,2001,0.58
CRI,2002,0.58
CRI,2003,0.58
CRI,2004,0.58
CRI,2005,0.58
CRI,2006,0.58
CRI,2007,0.58
CRI,2008,0.58
CRI,2009,0.58
CRI,2010,0.58
CRI,2011,0.58
CRI,2012,0.58
CRI,2013,0.58
CRI,2014,0.58
CRI,2015,0.652
CRI,2016,0.652
CRI,2017,0.652
CRI,2018,0.652
CRI,2019,0.652
CUB,2000,1.7
CUB,2001,1.7
CUB,2002,1.7
CUB,2003,1.7
CUB,2004,1.7
CUB,2005,1.7
CUB,2006,1.7
CUB,2007,1.7
CUB,2008,1.7
CUB,2009,1.7
CUB,2010,1.7
CUB,2011,1.7
CUB,2012,1.7
CUB,2013,1.7
CUB,2014,1.7
CUB,2015,1.7
CUB,2016,1.7
CUB,2017,1.7
CUB,2018,1.7
CUB,2019,1.7
CYM,2000,0.0
CYM,2001,0.0
CYM,2002,0.0
CYM,2003,0.0
CYM,2004,0.0
CYM,2005,0.0
CYM,2006,0.0
CYM,2007,0.0
CYM,2008,0.0
CYM,2009,0.0
CYM,2010,0.0
CYM,2011,0.0
CYM,2012,0.0
CYM,2013,0.0
CYM,2014,0.0
CYM,2015,0.0
CYM,2016,0.0
CYM,2017,0.0
CYM,2018,0.0
CYM,2019,0.0
CYP,2000,0.0461
CYP,2001,0.0461
CYP,2002,0.0461
CYP,2003,0.0461
CYP,2004,0.0461
CYP,2005,0.0461
CYP,2006,0.0461
CYP,2007,0.0656
CYP,2008,0.0656
CYP,2009,0.0656
CYP,2010,0.0656
CYP,2011,0.0656
CYP,2012,0.0788
CYP,2013,0.0788
CYP,2014,0.0788
CYP,2015,0.0788
CYP,2016,0.0788
CYP,2017,0.11
CYP,2018,0.11
CYP,2019,0.11
CZE,2000,0.6371
CZE,2001,0.6371
CZE,2002,0.6371
CZE,2003,0.6371
CZE,2004,0.6371
CZE,2005,0.6371
CZE,2006,0.6371
CZE,2007,0.6371
CZE,2008,0.6371
CZE,2009,0.6371
CZE,2010,0.6371
CZE,2011,0.6371
CZE,2012,0.6371
CZE,2013,0.6371
CZE,2014,0.6371
CZE,2015,0.6371
CZE,2016,0.6371
CZE,2017,0.6166
CZE,2018,0.6166
CZE,2019,0.6166
DEU,2000,5.409
DEU,2001,5.409
DEU,2002,5.409
DEU,2003,5.409
DEU,2004,5.409
DEU,2005,5.409
DEU,2006,5.409
DEU,2007,5.409
DEU,2008,5.409
DEU,2009,5.409
DEU,2010,5.409
DEU,2011,5.409
DEU,2012,5.409
DEU,2013,5.409
DEU,2014,5.409
DEU,2015,5.409
DEU,2016,4.388
DEU,2017,4.388
DEU,2018,4.388
DEU,2019,4.388
DJI,2000,0.016
DJI,2001,0.016
DJI,2002,0.016
DJI,2003,0.016
DJI,2004,0.016
DJI,2005,0.016
DJI,2006,0.016
DJI,2007,0.016
DJI,2008,0.016
DJI,2009,0.016
DJI,2010,0.016
DJI,2011,0.016
DJI,2012,0.016
DJI,2013,0.016
DJI,2014,0.016
DJI,2015,0.016
DJI,2016,0.016
DJI,2017,0.016
DJI,2018,0.016
DJI,2019,0.016
DMA,2000,0.019
DMA,2001,0.019
DMA,2002,0.019
DMA,2003,0.019
DMA,2004,0.019
DMA,2005,0.019
DMA,2006,0.019
DMA,2007,0.019
DMA,2008,0.019
DMA,2009,0.019
DMA,2010,0.019
DMA,2011,0.019
DMA,2012,0.019
DMA,2013,0.019
DMA,2014,0.019
DMA,2015,0.019
DMA,2016,0.019
DMA,2017,0.019
DMA,2018,0.019
DMA,2019,0.019
DNK,2000,0.4408
DNK,2001,0.4408
DNK,2002,0.4408
DNK,2003,0.4408
DNK,2004,0.4408
DNK,2005,0.4408
DNK,2006,0.4408
DNK,2007,0.411
DNK,2008,0.411
DNK,2009,0.411
DNK,2010,0.411
DNK,2011,0.411
DNK,2012,0.4012
DNK,2013,0.4012
DNK,2014,0.4012
DNK,2015,0.4012
DNK,2016,0.3815
DNK,2017,0.3815
DNK,2018,0.3815
DNK,2019,0.3815
DOM,2000,0.6
DOM,2001,0.6
DOM,2002,0.6
DOM,2003,0.6
DOM,2004,0.6
DOM,2005,0.724
DOM,2006,0.724
DOM,2007,0.724
DOM,2008,0.724
DOM,2009,0.724
DOM,2010,0.855
DOM,2011,0.855
DOM,2012,0.855
DOM,2013,0.855
DOM,2014,0.855
DOM,2015,0.855
DOM,2016,0.855
DOM,2017,0.855
DOM,2018,0.855
DOM,2019,0.855
DZA,2000,1.721
DZA,2001,1.721
DZA,2002,1.721
DZA,2003,1.721
DZA,2004,1.721
DZA,2005,1.721
DZA,2006,1.721
DZA,2007,1.721
DZA,2008,1.721
DZA,2009,1.721
DZA,2010,1.721
DZA,2011,1.721
DZA,2012,3.02
DZA,2013,3.02
DZA,2014,3.02
DZA,2015,3.02
DZA,2016,3.02
DZA,2017,3.6
DZA,2018,3.6
DZA,2019,3.6
ECU,2000,0.9073
ECU,2001,0.9073
ECU,2002,0.9073
ECU,2003,0.9073
ECU,2004,0.9073
ECU,2005,1.293
ECU,2006,1.293
ECU,2007,1.293
ECU,2008,1.293
ECU,2009,1.293
ECU,2010,1.293
ECU,2011,1.293
ECU,2012,1.293
ECU,2013,1.293
ECU,2014,1.293
ECU,2015,1.293
ECU,2016,1.293
ECU,2017,1.293
ECU,2018,1.293
ECU,2019,1.293
EGY,2000,5.3
EGY,2001,5.3
EGY,2002,5.3
EGY,2003,5.3
EGY,2004,5.3
EGY,2005,5.3
EGY,2006,5.3
EGY,2007,5.3
EGY,2008,5.3
EGY,2009,5.3
EGY,2010,5.3
EGY,2011,5.3
EGY,2012,9.6
EGY,2013,9.6
EGY,2014,9.6
EGY,2015,9.6
EGY,2016,9.6
EGY,2017,10.75
EGY,2018,10.75
EGY,2019,10.75
ERI,2000,0.0617
ERI,2001,0.0617
ERI,2002,0.0617
ERI,2003,0.0617
ERI,2004,0.031
ERI,2005,0.031
ERI,2006,0.031
ERI,2007,0.031
ERI,2008,0.031
ERI,2009,0.031
ERI,2010,0.031
ERI,2011,0.031
ERI,2012,0.031
ERI,2013,0.031
ERI,2014,0.031
ERI,2015,0.031
ERI,2016,0.031
ERI,2017,0.031
ERI,2018,0.031
ERI,2019,0.031
ESP,2000,5.448
ESP,2001,5.448
ESP,2002,5.448
ESP,2003,5.448
ESP,2004,5.448
ESP,2005,5.448
ESP,2006,5.448
ESP,2007,5.898
ESP,2008,5.898
ESP,2009,5.898
ESP,2010,5.898
ESP,2011,5.898
ESP,2012,4.599
ESP,2013,4.599
ESP,2014,4.599
ESP,2015,4.599
ESP,2016,4.89
ESP,2017,4.89
ESP,2018,4.89
ESP,2019,4.89
EST,2000,0.0852
EST,2001,0.0852
EST,2002,0.0852
EST,2003,0.0852
EST,2004,0.0852
EST,2005,0.0852
EST,2006,0.0852
EST,2007,0.0852
EST,2008,0.0852
EST,2009,0.0852
EST,2010,0.0852
EST,2011,0.0852
EST,2012,0.061
EST,2013,0.061
EST,2014,0.061
EST,2015,0.061
EST,2016,0.061
EST,2017,0.0594
EST,2018,0.0594
EST,2019,0.0594
ETH,2000,0.333
ETH,2001,0.333
ETH,2002,0.333
ETH,2003,0.333
ETH,2004,0.333
ETH,2005,0.81
ETH,2006,0.81
ETH,2007,0.81
ETH,2008,0.81
ETH,2009,0.81
ETH,2010,0.81
ETH,2011,0.81
ETH,2012,0.81
ETH,2013,0.81
ETH,2014,0.81
ETH,2015,0.81
ETH,2016,0.81
ETH,2017,0.81
ETH,2018,0.81
ETH,2019,0.81
FIN,2000,0.404
FIN,2001,0.404
FIN,2002,0.404
FIN,2003,0.404
FIN,2004,0.404
FIN,2005,0.404
FIN,2006,0.4094
FIN,2007,0.4094
FIN,2008,0.4094
FIN,2009,0.4094
FIN,2010,0.4094
FIN,2011,0.4
FIN,2012,0.4
FIN,2013,0.4
FIN,2014,0.4
FIN,2015,0.4
FIN,2016,0.4
FIN,2017,0.4
FIN,2018,0.4
FIN,2019,0.4
FJI,2000,0.0229
FJI,2001,0.0229
FJI,2002,0.0229
FJI,2003,0.0229
FJI,2004,0.0229
FJI,2005,0.0253
FJI,2006,0.0253
FJI,2007,0.0253
FJI,2008,0.0253
FJI,2009,0.0253
FJI,2010,0.0253
FJI,2011,0.0253
FJI,2012,0.0253
FJI,2013,0.0253
FJI,2014,0.0253
FJI,2015,0.0253
FJI,2016,0.0253
FJI,2017,0.0253
